policy_number,customer_id,inception_date,expiry_date,premium,ncd,postcode,product_type,status,created_at
POL-0040,CUST-001,2022-06-12,2023-06-12,1252.59,2,NW1 4NP,motor,Active,2023-08-18 09:31:00
POL-0041,CUST-002,14/03/2023,13/03/2024,413.14,1,E1 6RF,Motor,Active,2023-11-17 13:51:00
POL-0042,CUST-003,2022-02-05,2023-02-05,993.35,6,NW1 4NP,Life,Active,2022-11-05 08:48:00
POL-0043,CUST-004,2022-10-23,2023-10-23,"£1,130.30",6,SW3 4EP,Motor,Active,2022-12-23 16:26:00
POL-0044,CUST-005,2022-02-25,2023-02-25,412.99,3,NW1 4NP,Home,Active,2022-07-12 14:00:00
POL-0045,CUST-006,2023-08-03,2024-08-02,371.28,0,SE1 7PB,life,Active,2023-09-08 08:56:00
POL-0046,CUST-007,18/09/2022,18/09/2023,393.5,2,N1 9GU,Motor,Active,2024-10-27 14:59:00
POL-0047,CUST-008,2023-04-02,2024-04-01,503.31,1,EC2R 8AH,Home,Lapsed,2022-09-28 15:58:00
POL-0048,CUST-009,2023-09-19,2024-09-18,407.84,1,SW3 4EP,Travel,Active,2024-09-19 11:45:00
POL-0049,CUST-010,2022-04-13,2023-04-13,1378.1,6,SE1 7PB,Motor,Active,2022-10-03 15:47:00
POL-0050,CUST-011,2022-09-12,2023-09-12,418.2,2,NW1 4NP,life,Active,2024-10-30 16:04:00
POL-0051,CUST-012,29/08/2022,29/08/2023,1093.23,3,SE1 7PB,Motor,Lapsed,2024-03-20 16:35:00
POL-0052,CUST-013,2024-10-04,2024-08-28,1197.25,3,E1 6RF,Travel,Active,2024-10-12 11:06:00
POL-0053,CUST-014,2022-02-09,2023-02-09,446.51,6,E1 6RF,Motor,Active,2023-08-23 10:17:00
POL-0054,CUST-015,2023-11-19,2024-11-18,889.41,4,EC2R 8AH,Motor,Active,2024-01-17 09:10:00
POL-0055,CUST-016,2022-12-19,2023-12-19,890.11,6,NW1 4NP,home,Active,2024-07-15 08:01:00
POL-0056,CUST-017,2022-12-30,2023-12-30,301.82,3,EC2R 8AH,Home,Lapsed,2022-02-06 13:20:00
POL-0057,CUST-018,2023-08-16,2023-04-21,1213.74,3,W1A 0AX,Motor,Active,2022-03-01 10:13:00
POL-0058,CUST-019,2023-09-28,2024-09-27,1038.51,4,EC1A 1BB,Life,Lapsed,2022-08-22 14:05:00
POL-0059,CUST-020,2023-12-10,2024-12-09,925.85,5,N1 9GU,Motor,Lapsed,2023-06-23 13:45:00
POL-0060,CUST-021,2022-12-20,2023-12-20,516.52,1,SW3 4EP,Travel,Active,2023-03-26 12:20:00
POL-0061,CUST-022,2023-09-28,2024-09-27,1007.75,1,NW1 4NP,Travel,Active,2023-03-12 15:42:00
POL-0062,CUST-023,2023-04-01,2024-03-31,1166.82,8,EC2R 8AH,Motor,Active,2024-02-25 09:47:00
POL-0063,CUST-024,2022-01-19,2023-01-19,753.56,4,WC2N 5DU,Motor,Active,2024-11-09 11:38:00
POL-0064,CUST-025,2023-12-12,2024-12-11,1390.98,8,EC1A 1BB,Life,Lapsed,2023-03-03 09:37:00
POL-0065,CUST-026,2022-10-14,2023-10-14,640.04,7,WC2N 5DU,Home,Active,2022-06-24 08:03:00
POL-0066,CUST-027,2023-07-31,2024-07-30,1321.19,1,W1A 0AX,Home,Active,2024-05-17 17:37:00
POL-0067,CUST-028,2022-01-19,2023-01-19,483.49,0,E1 6RF,Motor,Active,2022-01-27 14:53:00
POL-0068,CUST-029,2022-10-21,2023-10-21,1264.64,2,W1A 0AX,Life,Active,2022-12-29 14:06:00
POL-0069,CUST-030,2022-11-14,2023-11-14,702.0,2,N1 9GU,Life,Active,2022-06-09 12:33:00
POL-0070,CUST-031,2022-11-08,2023-11-08,1178.81,4,W1A 0AX,Life,Active,2022-03-13 17:53:00
POL-0071,CUST-032,2022-03-13,2023-03-13,366.96,4,N1 9GU,Motor,Active,2024-09-18 11:54:00
POL-0072,CUST-033,2023-05-29,2024-05-28,527.97,4,WC2N 5DU,Life,Active,2023-01-13 15:18:00
POL-0073,CUST-034,2022-06-02,2023-06-02,367.38,3,SW3 4EP,Travel,Active,2023-04-16 17:22:00
POL-0074,CUST-035,2023-09-09,2024-09-08,922.52,8,SE1 7PB,Motor,Active,2022-01-01 13:46:00
,CUST-036,2023-02-14,2024-02-14,314.95,1,N1 9GU,Motor,Lapsed,2026-12-01 10:00:00
,CUST-037,2022-07-19,2023-07-19,588.33,1,SE1 7PB,Life,Active,2026-12-02 10:00:00
,CUST-038,2022-11-14,2023-11-14,1079.59,2,SW3 4EP,Life,Active,2026-12-03 10:00:00
POL-0078,CUST-039,2022-11-28,2023-11-28,587.1,0,SE1 7PB,Life,Active,2024-10-29 08:28:00
POL-0079,CUST-040,2023-10-27,2024-10-26,1001.51,4,SW3 4EP,Motor,Active,2023-12-14 10:02:00
POL-0080,CUST-001,2023-12-21,2024-12-20,1426.19,5,SW3 4EP,Home,Active,2023-03-04 16:38:00
POL-0081,CUST-002,2023-03-11,2024-03-10,651.82,7,EC2R 8AH,Home,Active,2024-11-26 16:19:00
POL-0021,CUST-022,2022-07-22,2023-07-22,1102.64,5,E1 6RF,Motor,Active,2022-12-18 12:42:00
POL-0031,CUST-032,2022-01-13,2023-01-13,415.78,5,NW1 4NP,Motor,Active,2022-04-08 14:02:00
